"","HeatingQC","CentralAir","ElectricalType","FirstFloorSqft","SecondFloorSqft","Abovegradeliving","BaseFullBath","BaseHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","Functional","Fireplaces","GarageType"
"19","Ex",1,"SBrkr",1114,0,1114,1,0,1,1,3,1,"Gd","Typ",0,"Detchd"
"20","TA",1,"SBrkr",1339,0,1339,0,0,1,0,3,1,"TA","Deduction",0,"Attchd"
"21","Ex",1,"SBrkr",1158,1218,2376,0,0,3,1,4,1,"Gd","Typ",1,"BuiltIn"
"22","Ex",1,"FuseF",1108,0,1108,0,0,1,0,3,1,"Gd","Typ",1,"Attchd"
"23","Ex",1,"SBrkr",1795,0,1795,0,0,2,0,3,1,"Gd","Typ",1,"Attchd"
"24","TA",1,"SBrkr",1060,0,1060,1,0,1,0,3,1,"TA","Typ",1,"Attchd"
"25","Ex",1,"SBrkr",1060,0,1060,1,0,1,0,3,1,"Gd","Typ",1,"Attchd"
"26","Ex",1,"SBrkr",1600,0,1600,0,0,2,0,3,1,"Gd","Typ",1,"Attchd"
"27","TA",1,"SBrkr",900,0,900,0,1,1,0,3,1,"Gd","Typ",0,"Detchd"
"28","Ex",1,"SBrkr",1704,0,1704,1,0,2,0,3,1,"Gd","Typ",1,"Attchd"
"29","TA",1,"SBrkr",1600,0,1600,1,0,1,0,2,1,"TA","Typ",2,"Attchd"
"30","Fa",0,"SBrkr",520,0,520,0,0,1,0,1,1,"Fa","Typ",0,"Detchd"
"31","TA",0,"SBrkr",649,668,1317,0,0,1,0,3,1,"TA","Typ",0,"Detchd"
"32","Gd",1,"SBrkr",1228,0,1228,0,0,1,1,3,1,"Gd","Typ",0,"Attchd"
"33","Ex",1,"SBrkr",1234,0,1234,0,0,2,0,3,1,"Gd","Typ",0,"Attchd"
"34","Gd",1,"SBrkr",1700,0,1700,0,1,1,1,4,1,"Gd","Typ",1,"Attchd"
"35","Ex",1,"SBrkr",1561,0,1561,1,0,2,0,2,1,"Ex","Typ",1,"Attchd"
"36","Ex",1,"SBrkr",1132,1320,2452,0,0,3,1,4,1,"Gd","Typ",1,"BuiltIn"
"37","Ex",1,"SBrkr",1097,0,1097,0,0,1,1,3,1,"TA","Typ",0,"Attchd"
"38","Gd",1,"SBrkr",1297,0,1297,0,1,1,0,3,1,"TA","Typ",1,"Attchd"
"39","TA",1,"SBrkr",1057,0,1057,1,0,1,0,3,1,"Gd","Typ",0,"Detchd"
"40","TA",0,"FuseP",1152,0,1152,0,0,2,0,2,2,"Fa","Typ",0,"No Garage"
"41","Ex",1,"SBrkr",1324,0,1324,0,0,2,0,3,1,"TA","Typ",1,"Attchd"
"42","Gd",1,"SBrkr",1328,0,1328,0,1,1,1,2,1,"TA","Typ",2,"Attchd"
"43","Gd",1,"SBrkr",884,0,884,1,0,1,0,2,1,"Gd","Typ",0,"Attchd"
"44","TA",1,"SBrkr",938,0,938,1,0,1,0,3,1,"TA","Typ",0,"Detchd"
"45","Ex",1,"FuseA",1150,0,1150,1,0,1,0,3,1,"TA","Typ",0,"Attchd"
"46","Ex",1,"SBrkr",1752,0,1752,1,0,2,0,2,1,"Ex","Typ",1,"Attchd"
"47","Ex",1,"SBrkr",1518,631,2149,1,0,1,1,1,1,"Gd","Typ",1,"Attchd"
"48","Ex",1,"SBrkr",1656,0,1656,0,0,2,0,3,1,"Gd","Typ",0,"Attchd"
"49","Gd",1,"SBrkr",736,716,1452,0,0,2,0,2,3,"TA","Typ",0,"No Garage"
"50","Ex",1,"SBrkr",955,0,955,1,0,1,0,3,1,"TA","Typ",0,"Attchd"
"51","Gd",1,"SBrkr",794,676,1470,0,1,2,0,3,1,"TA","Typ",0,"Attchd"
"52","TA",1,"SBrkr",816,0,1176,0,0,1,0,3,1,"TA","Typ",1,"Detchd"
"53","TA",0,"SBrkr",816,0,816,1,0,1,0,2,1,"TA","Typ",0,"CarPort"
"54","Gd",1,"SBrkr",1842,0,1842,2,0,0,1,0,1,"Gd","Typ",1,"Attchd"
"55","TA",1,"SBrkr",1360,0,1360,0,0,1,0,3,1,"TA","Deduction",1,"Detchd"
"56","Gd",1,"SBrkr",1425,0,1425,0,0,2,0,3,1,"TA","Typ",1,"Attchd"
"57","Ex",1,"SBrkr",983,756,1739,1,0,2,1,3,1,"Gd","Typ",0,"Attchd"
"58","Ex",1,"SBrkr",860,860,1720,0,0,2,1,3,1,"Gd","Typ",0,"Attchd"
"59","Ex",1,"SBrkr",1426,1519,2945,0,0,3,1,3,1,"Gd","Typ",1,"BuiltIn"
"60","Ex",1,"SBrkr",780,0,780,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
"61","Ex",1,"SBrkr",1158,0,1158,1,0,1,1,3,1,"Gd","Typ",0,"Detchd"
"62","TA",0,"SBrkr",581,530,1111,0,0,1,0,3,1,"Fa","Typ",0,"Detchd"
"63","Ex",1,"SBrkr",1370,0,1370,0,0,2,0,2,1,"Gd","Typ",1,"Attchd"
"64","Gd",1,"SBrkr",902,808,1710,0,0,2,0,3,1,"TA","Typ",0,"Detchd"
"65","Ex",1,"SBrkr",1057,977,2034,1,0,2,1,3,1,"Gd","Typ",0,"Attchd"
"66","Ex",1,"SBrkr",1143,1330,2473,0,0,2,1,4,1,"Gd","Typ",1,"BuiltIn"
"67","TA",1,"SBrkr",2207,0,2207,1,0,2,0,3,1,"TA","Deduction",1,"Attchd"
"68","Ex",1,"SBrkr",1479,0,1479,1,0,2,0,3,1,"Gd","Typ",0,"Attchd"
"69","TA",1,"SBrkr",747,0,747,0,0,1,0,2,1,"TA","Typ",0,"Attchd"
"70","TA",1,"SBrkr",1304,983,2287,0,0,2,0,3,1,"TA","Typ",1,"Attchd"
"71","Ex",1,"SBrkr",2223,0,2223,1,0,2,0,3,1,"TA","Typ",2,"Attchd"
"72","TA",1,"SBrkr",845,0,845,1,0,1,0,2,1,"TA","Typ",0,"Detchd"
"73","Gd",1,"SBrkr",885,833,1718,0,0,2,1,3,1,"TA","Typ",1,"Attchd"
"74","Gd",1,"SBrkr",1086,0,1086,1,0,1,0,3,1,"TA","Typ",0,"Attchd"
"75","Gd",0,"SBrkr",840,765,1605,0,0,2,0,3,2,"TA","Typ",0,"Detchd"
"76","TA",1,"SBrkr",526,462,988,1,0,1,0,2,1,"TA","Typ",0,"BuiltIn"
"77","Ex",1,"FuseA",952,0,952,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
"78","TA",1,"SBrkr",1072,213,1285,1,0,1,0,2,1,"TA","Deduction",0,"Detchd"
"79","TA",0,"SBrkr",1768,0,1768,0,0,2,0,4,2,"TA","Typ",0,"No Garage"
"80","Gd",1,"SBrkr",682,548,1230,0,0,1,1,2,1,"TA","Typ",0,"Detchd"
"81","TA",1,"SBrkr",1182,960,2142,0,0,2,1,4,1,"Gd","Typ",1,"Attchd"
"82","Ex",1,"SBrkr",1337,0,1337,1,0,2,0,2,1,"TA","Typ",0,"Attchd"
"83","Ex",1,"SBrkr",1563,0,1563,0,0,2,0,3,1,"Gd","Typ",1,"Attchd"
"84","Gd",1,"SBrkr",1065,0,1065,0,0,1,1,3,1,"TA","Typ",0,"Detchd"
"85","Gd",1,"SBrkr",804,670,1474,0,0,2,1,3,1,"TA","Typ",1,"BuiltIn"
"86","Ex",1,"SBrkr",1301,1116,2417,0,0,2,1,4,1,"Gd","Typ",1,"Attchd"
"87","Ex",1,"SBrkr",684,876,1560,0,0,2,1,3,1,"Gd","Typ",1,"BuiltIn"
"88","Ex",1,"SBrkr",612,612,1224,0,0,2,1,2,1,"Gd","Typ",0,"Detchd"
"89","TA",0,"SBrkr",1013,0,1526,0,0,1,0,2,1,"Fa","Typ",0,"No Garage"
"90","Ex",1,"SBrkr",990,0,990,1,0,1,0,3,1,"TA","Typ",0,"No Garage"
"91","TA",1,"FuseA",1040,0,1040,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
"92","TA",1,"SBrkr",1235,0,1235,0,0,1,0,2,1,"TA","Typ",0,"Attchd"
"93","Ex",1,"SBrkr",964,0,964,1,0,1,0,2,1,"TA","Typ",0,"Detchd"
"94","Ex",0,"SBrkr",1260,1031,2291,0,1,2,0,4,2,"TA","Typ",1,"Detchd"
"95","Ex",1,"SBrkr",905,881,1786,1,0,2,1,3,1,"Gd","Typ",0,"Attchd"
"96","Gd",1,"SBrkr",680,790,1470,0,0,2,1,3,1,"TA","Typ",1,"BuiltIn"
"97","Ex",1,"SBrkr",1588,0,1588,0,0,2,0,3,1,"Gd","Typ",0,"Attchd"
"98","TA",1,"FuseF",960,0,960,1,0,1,0,3,1,"TA","Typ",0,"Attchd"
"99","Fa",0,"SBrkr",835,0,835,0,0,1,0,2,1,"TA","Typ",0,"Basment"
"100","Fa",1,"SBrkr",1225,0,1225,1,0,1,1,3,1,"TA","Typ",0,"No Garage"
"101","Gd",1,"SBrkr",1610,0,1610,1,0,2,0,3,1,"Gd","Typ",2,"Attchd"
"102","TA",1,"SBrkr",977,755,1732,0,0,2,1,3,1,"Gd","Typ",1,"Attchd"
"103","TA",1,"SBrkr",1535,0,1535,0,0,2,0,4,2,"TA","Typ",0,"Attchd"
"104","Ex",1,"SBrkr",1226,0,1226,0,0,2,0,3,1,"Gd","Typ",0,"Attchd"
"105","Ex",1,"FuseF",1226,592,1818,0,0,1,1,4,1,"TA","Typ",2,"Detchd"
"106","Ex",1,"SBrkr",1053,939,1992,0,0,2,1,3,1,"Gd","Typ",1,"Attchd"
"107","Gd",1,"SBrkr",1047,0,1047,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
"108","Ex",1,"SBrkr",789,0,789,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
"109","TA",0,"FuseF",997,520,1517,0,0,2,0,3,1,"Fa","Typ",0,"No Garage"
"110","Ex",1,"SBrkr",1844,0,1844,0,0,2,0,3,1,"TA","Typ",1,"Attchd"
"111","Gd",1,"SBrkr",1216,639,1855,0,0,2,0,4,1,"TA","Typ",0,"Attchd"
"112","Ex",1,"SBrkr",774,656,1430,0,0,2,1,3,1,"TA","Typ",1,"BuiltIn"
"113","Ex",1,"SBrkr",1282,1414,2696,1,0,2,1,4,1,"Ex","Typ",1,"BuiltIn"
"114","TA",1,"SBrkr",2259,0,2259,1,0,2,0,3,1,"Gd","Typ",2,"Basment"
"115","Ex",1,"SBrkr",1436,884,2320,1,0,2,1,3,1,"Gd","Typ",1,"Detchd"
"116","Gd",1,"SBrkr",729,729,1458,0,0,2,1,2,1,"TA","Typ",1,"Detchd"
"117","TA",1,"SBrkr",1092,0,1092,0,1,1,0,3,1,"TA","Typ",1,"Attchd"
"118","Gd",1,"SBrkr",1125,0,1125,0,0,1,1,2,1,"TA","Typ",0,"Attchd"
"119","Gd",1,"SBrkr",1699,1523,3222,1,0,3,0,5,1,"Gd","Typ",2,"Attchd"
"120","Ex",1,"SBrkr",728,728,1456,0,0,2,1,3,1,"Gd","Typ",1,"Attchd"
"121","Ex",1,"SBrkr",988,0,988,1,0,1,0,1,1,"TA","Typ",2,"Attchd"
"122","Gd",1,"SBrkr",772,351,1123,0,0,1,0,3,1,"TA","Typ",0,"Detchd"
"123","Gd",1,"SBrkr",1080,0,1080,0,0,1,0,3,1,"TA","Typ",0,"Attchd"
"124","Ex",1,"SBrkr",1199,0,1199,0,0,2,0,2,1,"Gd","Typ",0,"Attchd"
"125","TA",1,"SBrkr",1586,0,1586,0,0,2,0,3,1,"TA","Typ",1,"Attchd"
"126","Gd",0,"SBrkr",520,0,754,1,0,1,0,2,1,"TA","Typ",0,"No Garage"
"127","TA",1,"SBrkr",958,0,958,0,0,2,0,2,1,"TA","Typ",1,"Attchd"
"128","Ex",1,"SBrkr",840,0,840,0,0,1,0,3,1,"TA","Typ",1,"No Garage"
"129","TA",1,"SBrkr",660,688,1348,0,0,1,1,3,1,"TA","Typ",1,"Attchd"
"130","TA",1,"FuseA",1053,0,1053,0,1,1,1,3,1,"Ex","Typ",0,"2Types"
"131","Ex",1,"SBrkr",1216,941,2157,0,0,2,1,4,1,"Gd","Typ",2,"Attchd"
"132","Ex",1,"SBrkr",1022,1032,2054,1,0,2,1,3,1,"Gd","Typ",1,"BuiltIn"
"133","Gd",1,"SBrkr",1327,0,1327,1,0,1,0,3,1,"Gd","Typ",0,"Detchd"
"134","Ex",1,"SBrkr",1296,0,1296,1,0,2,0,2,1,"Gd","Typ",0,"Attchd"
"135","Gd",1,"SBrkr",1721,0,1721,0,0,2,1,3,1,"TA","Deduction",1,"Attchd"
"136","Gd",1,"SBrkr",1682,0,1682,0,0,2,0,3,1,"TA","Typ",1,"Attchd"
"137","TA",1,"SBrkr",1214,0,1214,0,0,2,0,3,1,"TA","Typ",1,"Attchd"
"138","Gd",1,"SBrkr",1959,0,1959,0,0,3,0,5,2,"TA","Typ",0,"2Types"
"139","Ex",1,"SBrkr",1004,848,1852,0,0,2,1,3,1,"Gd","Typ",2,"Attchd"
"140","Ex",1,"SBrkr",928,836,1764,1,0,2,1,3,1,"Gd","Typ",0,"Attchd"
"141","TA",1,"SBrkr",864,0,864,0,0,1,0,3,1,"TA","Typ",1,"No Garage"
"142","Ex",1,"SBrkr",1734,0,1734,1,0,2,0,3,1,"Gd","Typ",0,"Attchd"
"143","Fa",1,"SBrkr",910,475,1385,0,0,2,0,4,1,"TA","Typ",0,"Detchd"
"144","Ex",1,"SBrkr",1501,0,1501,1,0,2,0,3,1,"Gd","Typ",0,"Attchd"
"145","TA",1,"SBrkr",1728,0,1728,1,0,2,0,6,2,"TA","Typ",0,"Detchd"
"146","Ex",1,"SBrkr",970,739,1709,0,0,2,0,3,1,"Gd","Deduction",0,"Detchd"
"147","TA",1,"FuseA",875,0,875,1,0,1,0,2,1,"TA","Typ",0,"Detchd"
"148","Ex",1,"SBrkr",884,1151,2035,0,0,2,1,3,1,"Gd","Typ",1,"BuiltIn"
"149","Ex",1,"SBrkr",1080,0,1080,1,0,1,0,3,1,"Gd","Typ",0,"No Garage"
"150","Gd",1,"FuseA",896,448,1344,0,0,1,0,3,1,"TA","Typ",0,"Detchd"
"151","TA",1,"SBrkr",969,0,969,0,0,1,1,3,1,"TA","Typ",0,"Attchd"
"152","Ex",1,"SBrkr",1710,0,1710,1,0,2,0,2,1,"Gd","Typ",1,"Attchd"
"153","Gd",1,"SBrkr",1097,896,1993,0,0,2,1,4,1,"TA","Typ",1,"Attchd"
"154","Gd",1,"SBrkr",1252,0,1252,1,0,1,0,1,1,"TA","Typ",1,"Attchd"
"155","TA",1,"FuseA",1200,0,1200,0,0,1,0,4,1,"TA","Typ",0,"Detchd"
"156","Fa",0,"FuseF",572,524,1096,0,0,1,0,2,1,"TA","Typ",0,"No Garage"
"157","TA",1,"FuseF",1040,0,1040,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
"158","Ex",1,"SBrkr",774,1194,1968,0,0,2,1,4,1,"Ex","Typ",1,"BuiltIn"
"159","Ex",1,"SBrkr",991,956,1947,0,0,2,1,3,1,"Gd","Typ",1,"Attchd"
"160","Ex",1,"SBrkr",1392,1070,2462,1,0,2,1,4,1,"Gd","Typ",1,"Attchd"
"161","TA",1,"SBrkr",1232,0,1232,0,0,2,0,3,1,"TA","Typ",0,"Attchd"
"162","Ex",1,"SBrkr",1572,1096,2668,1,0,2,1,3,1,"Ex","Typ",2,"BuiltIn"
"163","Ex",1,"SBrkr",1541,0,1541,0,0,2,0,3,1,"Gd","Typ",1,"Attchd"
"164","Ex",1,"SBrkr",882,0,882,0,0,1,0,1,1,"TA","Typ",0,"No Garage"
"165","Gd",1,"FuseA",1149,467,1616,0,0,2,0,3,1,"Gd","Typ",0,"Detchd"
"166","Gd",1,"SBrkr",808,547,1355,1,0,2,0,4,2,"TA","Typ",0,"No Garage"
"167","Ex",1,"FuseA",1867,0,1867,1,0,1,0,2,1,"TA","Typ",3,"Attchd"
"168","Ex",1,"SBrkr",1610,551,2161,1,0,1,1,3,1,"Ex","Typ",1,"Attchd"
"169","Ex",1,"SBrkr",840,880,1720,0,0,2,1,3,1,"Gd","Typ",1,"Attchd"
"170","TA",1,"SBrkr",1707,0,1707,0,0,2,1,2,1,"TA","Typ",1,"Attchd"
"171","TA",1,"SBrkr",854,0,1382,0,0,1,1,2,1,"TA","Typ",0,"Detchd"
"172","Fa",1,"SBrkr",1656,0,1656,1,0,1,0,3,1,"TA","Typ",2,"Attchd"
"173","Gd",1,"SBrkr",1064,703,1767,1,0,2,0,2,1,"Gd","Typ",1,"Attchd"
"174","TA",1,"SBrkr",1362,0,1362,1,0,1,1,3,1,"TA","Typ",1,"Attchd"
"175","TA",1,"SBrkr",1651,0,1651,1,0,2,0,3,1,"TA","Deduction",1,"Attchd"
"176","TA",1,"SBrkr",2158,0,2158,1,0,2,0,4,1,"Gd","Typ",1,"Attchd"
"177","TA",1,"SBrkr",1164,896,2060,0,1,2,1,4,1,"TA","Typ",1,"Attchd"
"178","Ex",1,"SBrkr",1252,668,1920,1,0,2,0,4,1,"Gd","Typ",1,"Attchd"
"179","Ex",1,"SBrkr",2234,0,2234,1,0,2,0,1,1,"Ex","Typ",1,"Attchd"
"180","TA",1,"SBrkr",968,0,968,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
"181","Ex",1,"SBrkr",769,756,1525,0,0,2,1,3,1,"Gd","Typ",1,"Detchd"
"182","Gd",1,"SBrkr",901,901,1802,0,0,1,1,4,1,"TA","Typ",1,"Detchd"
"183","Ex",1,"SBrkr",1340,0,1340,0,0,1,0,3,1,"TA","Typ",1,"Attchd"
"184","Ex",1,"SBrkr",1362,720,2082,0,0,2,1,3,1,"Gd","Deduction",0,"Detchd"
"185","Gd",1,"SBrkr",936,316,1252,0,0,1,0,3,1,"TA","Typ",0,"Attchd"
"186","Ex",1,"SBrkr",1518,1518,3608,0,0,2,1,4,1,"Ex","Typ",2,"Detchd"
"187","Ex",1,"SBrkr",1217,0,1217,1,0,2,0,3,1,"Gd","Typ",0,"Attchd"
"188","Ex",1,"SBrkr",808,704,1656,0,0,2,1,3,1,"TA","Deduction",0,"Detchd"
"189","TA",1,"SBrkr",1224,0,1224,2,0,0,2,2,2,"TA","Typ",2,"Detchd"
"190","Ex",1,"SBrkr",1593,0,1593,1,0,1,1,0,1,"Ex","Typ",1,"Attchd"
"191","TA",1,"SBrkr",1549,1178,2727,0,0,2,1,3,1,"Gd","Deduction",2,"Detchd"
"192","Gd",1,"SBrkr",725,754,1479,1,0,1,1,4,1,"Gd","Typ",0,"Attchd"
"193","Ex",1,"SBrkr",1431,0,1431,1,0,2,0,3,1,"Gd","Typ",0,"Attchd"
"194","Ex",1,"SBrkr",970,739,1709,0,0,2,0,3,1,"Gd","Deduction",0,"Detchd"
"195","TA",1,"SBrkr",864,0,864,0,0,1,0,3,1,"TA","Typ",0,"Detchd"
"196","TA",1,"SBrkr",855,601,1456,0,0,2,1,3,1,"TA","Typ",1,"Attchd"
"197","Ex",1,"SBrkr",1726,0,1726,1,0,2,0,3,1,"Ex","Typ",1,"Attchd"
"198","Gd",1,"SBrkr",1360,1360,3112,1,1,2,0,4,1,"Gd","Typ",1,"Detchd"
"199","Ex",1,"SBrkr",929,929,2229,0,0,1,0,5,1,"TA","Typ",0,"No Garage"
"200","Ex",1,"SBrkr",1713,0,1713,1,0,2,0,3,1,"Ex","Typ",1,"Attchd"
"201","Ex",1,"SBrkr",1121,0,1121,0,0,2,0,2,1,"TA","Typ",0,"Attchd"
"202","TA",1,"SBrkr",1279,0,1279,0,1,2,0,3,1,"TA","Typ",2,"Detchd"
"203","Gd",1,"SBrkr",865,445,1310,0,0,2,0,2,1,"TA","Deduction",0,"Attchd"
"204","Ex",1,"SBrkr",848,0,848,1,0,1,0,1,1,"Gd","Typ",1,"Attchd"
"205","TA",1,"SBrkr",720,564,1284,0,0,1,1,2,1,"TA","Typ",0,"Detchd"
"206","Ex",1,"SBrkr",1442,0,1442,0,0,2,0,3,1,"TA","Typ",0,"Attchd"
"207","TA",1,"SBrkr",1696,0,1696,0,0,1,1,3,1,"TA","Deduction",1,"Attchd"
"208","TA",1,"SBrkr",1100,0,1100,1,0,1,0,3,1,"TA","Typ",1,"Attchd"
"209","Ex",1,"SBrkr",1180,882,2062,1,0,2,1,3,1,"TA","Typ",1,"Attchd"
"210","Ex",1,"SBrkr",1092,0,1092,1,0,1,0,3,1,"TA","Typ",0,"Attchd"
"211","TA",0,"FuseA",864,0,864,1,0,1,0,2,1,"TA","Typ",0,"No Garage"
"212","Ex",1,"SBrkr",1212,0,1212,0,0,2,0,3,1,"Gd","Typ",0,"Attchd"
"213","Ex",1,"SBrkr",932,920,1852,1,0,2,1,3,1,"Gd","Typ",1,"Attchd"
"214","Ex",1,"SBrkr",990,0,990,0,1,1,0,3,1,"TA","Typ",0,"Attchd"
"215","Ex",1,"SBrkr",689,703,1392,0,0,1,1,3,1,"TA","Typ",0,"Attchd"
"216","TA",1,"SBrkr",1236,0,1236,0,1,1,0,2,1,"Gd","Deduction",1,"Attchd"
"217","Ex",1,"SBrkr",1436,0,1436,1,0,2,0,3,1,"Gd","Typ",0,"Attchd"
"218","Fa",0,"SBrkr",810,518,1328,0,0,1,0,3,1,"TA","Typ",0,"Detchd"
"219","Ex",1,"SBrkr",1137,817,1954,0,1,1,1,3,1,"Gd","Typ",2,"Attchd"
"220","Ex",1,"SBrkr",1248,0,1248,0,0,2,0,2,1,"Gd","Typ",0,"Attchd"
"221","Ex",1,"SBrkr",1498,0,1498,0,0,2,0,2,1,"Gd","Typ",0,"Attchd"
"222","Ex",1,"SBrkr",1010,1257,2267,0,0,2,1,4,1,"Gd","Typ",1,"BuiltIn"
"223","TA",1,"SBrkr",811,741,1552,1,0,2,1,3,1,"TA","Typ",1,"Attchd"
"224","Gd",1,"SBrkr",864,0,864,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
"225","Ex",1,"SBrkr",2392,0,2392,0,0,2,0,3,1,"Ex","Typ",1,"Attchd"
"226","TA",1,"SBrkr",630,672,1302,0,0,2,1,3,1,"TA","Typ",0,"Detchd"
"227","Ex",1,"SBrkr",1214,1306,2520,0,0,2,1,4,1,"Gd","Typ",1,"Attchd"
"228","TA",1,"SBrkr",483,504,987,0,0,1,1,2,1,"TA","Typ",0,"Detchd"
"229","TA",1,"SBrkr",912,0,912,0,0,1,0,3,1,"TA","Typ",1,"Detchd"
"230","Ex",1,"SBrkr",1555,0,1555,0,0,2,0,2,1,"Gd","Typ",1,"Attchd"
"231","TA",1,"SBrkr",1194,0,1194,1,0,1,0,3,1,"TA","Typ",0,"Attchd"
"232","Ex",1,"SBrkr",1490,1304,2794,1,0,2,1,4,1,"Ex","Typ",1,"Attchd"
"233","TA",1,"SBrkr",483,504,987,0,0,1,1,2,1,"TA","Typ",1,"Attchd"
"234","TA",1,"SBrkr",894,0,894,1,0,1,0,3,1,"TA","Typ",0,"Attchd"
"235","Ex",1,"SBrkr",860,1100,1960,1,0,2,1,4,1,"Gd","Typ",2,"BuiltIn"
"236","TA",1,"SBrkr",483,504,987,0,0,1,1,2,1,"TA","Typ",0,"Detchd"
"237","Ex",1,"SBrkr",1414,0,1414,0,0,2,0,3,1,"Gd","Typ",0,"Attchd"
"238","Ex",1,"SBrkr",1014,730,1744,0,0,2,1,3,1,"Gd","Typ",0,"Attchd"
"239","Ex",1,"SBrkr",1694,0,1694,0,0,2,0,3,1,"Gd","Typ",0,"Attchd"
"240","TA",1,"FuseA",798,689,1487,0,0,1,1,3,1,"TA","Typ",1,"Detchd"
"241","Ex",1,"SBrkr",1566,0,1566,1,0,2,0,3,1,"Gd","Typ",0,"Attchd"
"242","Gd",1,"SBrkr",866,0,866,0,0,1,0,2,1,"Gd","Typ",0,"No Garage"
"243","Gd",0,"FuseA",889,551,1440,0,0,1,0,3,1,"TA","Typ",0,"Attchd"
"244","TA",1,"SBrkr",626,591,1217,0,0,1,1,3,1,"TA","Typ",1,"Attchd"
"245","Ex",1,"SBrkr",1222,888,2110,1,0,2,1,3,1,"Gd","Typ",2,"Attchd"
"246","Gd",1,"SBrkr",1872,0,1872,0,1,2,0,3,1,"TA","Typ",1,"Attchd"
"247","Gd",0,"FuseP",908,1020,1928,0,0,2,0,4,2,"Fa","Typ",0,"Detchd"
"248","Ex",1,"SBrkr",1375,0,1375,0,0,1,0,2,1,"TA","Typ",1,"Attchd"
"249","Ex",1,"SBrkr",840,828,1668,0,0,2,1,3,1,"Gd","Typ",0,"Attchd"
"250","Gd",1,"SBrkr",1444,700,2144,0,1,2,0,4,1,"Gd","Typ",2,"Attchd"
"251","Ex",1,"SBrkr",1306,0,1306,0,0,1,0,3,1,"Fa","Deduction",0,"No Garage"
"252","Ex",1,"SBrkr",1625,0,1625,1,1,2,0,2,1,"Gd","Typ",1,"Attchd"
"253","Ex",1,"SBrkr",798,842,1640,0,0,2,1,3,1,"Gd","Typ",0,"Attchd"
"254","Ex",1,"SBrkr",1302,0,1302,0,1,2,0,3,1,"Gd","Deduction",0,"Attchd"
"255","TA",1,"SBrkr",1314,0,1314,1,0,1,0,3,1,"TA","Typ",0,"Attchd"
"256","Ex",1,"SBrkr",1005,1286,2291,0,0,2,1,4,1,"Gd","Typ",1,"BuiltIn"
"257","Ex",1,"SBrkr",864,864,1728,0,0,2,1,3,1,"Gd","Typ",0,"Attchd"
"258","Ex",1,"SBrkr",1604,0,1604,1,0,2,1,3,1,"Gd","Typ",1,"Attchd"
"259","Ex",1,"SBrkr",963,829,1792,0,0,2,1,3,1,"Gd","Typ",1,"Attchd"
"260","Gd",1,"FuseA",882,0,882,0,0,1,0,2,1,"TA","Typ",0,"Detchd"
