"Id","MSSubClass","MSZoning","LotArea","LandContour","LotConfig","Neighborhood","BldgType","OverallQual","OverallCond","house_age"
26,"20","RL",14230,"Lvl","Corner","NridgHt","1Fam",8,5,2
27,"20","RL",7200,"Lvl","Corner","NAmes","1Fam",5,7,59
28,"20","RL",11478,"Lvl","Inside","NridgHt","1Fam",8,5,3
29,"20","RL",16321,"Lvl","CulDSac","NAmes","1Fam",5,6,49
30,"30","RM",6324,"Lvl","Inside","BrkSide","1Fam",4,6,81
31,"70","C (all)",8500,"Lvl","Inside","IDOTRR","1Fam",4,4,88
32,"20","RL",8544,"Lvl","CulDSac","Sawyer","1Fam",5,6,42
33,"20","RL",11049,"Lvl","Corner","CollgCr","1Fam",8,5,1
34,"20","RL",10552,"Lvl","Inside","NAmes","1Fam",5,5,51
35,"120","RL",7313,"Lvl","Inside","NridgHt","TwnhsE",9,5,2
36,"60","RL",13418,"Lvl","Inside","NridgHt","1Fam",8,5,2
37,"20","RL",10859,"Lvl","Corner","CollgCr","1Fam",5,5,15
38,"20","RL",8532,"Lvl","Inside","NAmes","1Fam",5,6,55
39,"20","RL",7922,"Lvl","Inside","NAmes","1Fam",5,7,57
40,"90","RL",6040,"Lvl","Inside","Edwards","Duplex",4,5,53
41,"20","RL",8658,"Lvl","Inside","NAmes","1Fam",6,5,41
42,"20","RL",16905,"Lvl","Inside","Timber","1Fam",5,6,48
43,"85","RL",9180,"Lvl","CulDSac","SawyerW","1Fam",5,7,24
44,"20","RL",9200,"Lvl","CulDSac","CollgCr","1Fam",5,6,33
45,"20","RL",7945,"Lvl","Inside","NAmes","1Fam",5,6,47
46,"120","RL",7658,"Lvl","Inside","NridgHt","TwnhsE",9,5,5
47,"50","RL",12822,"Lvl","CulDSac","Mitchel","1Fam",7,5,6
48,"20","FV",11096,"Lvl","Inside","Somerst","1Fam",8,5,1
49,"190","RM",4456,"Lvl","Inside","OldTown","2fmCon",4,5,89
50,"20","RL",7742,"Lvl","Inside","Sawyer","1Fam",5,7,41
51,"60","RL",13869,"Lvl","Corner","Gilbert","1Fam",6,6,10
52,"50","RM",6240,"Lvl","Inside","BrkSide","1Fam",6,6,72
53,"90","RM",8472,"Bnk","Corner","IDOTRR","Duplex",5,5,47
54,"20","RL",50271,"Low","Inside","Veenker","1Fam",9,5,25
55,"80","RL",7134,"Bnk","Inside","NAmes","1Fam",5,5,52
56,"20","RL",10175,"Lvl","Inside","NAmes","1Fam",6,5,44
57,"160","FV",2645,"Lvl","Inside","Somerst","Twnhs",8,5,10
58,"60","RL",11645,"Lvl","Corner","CollgCr","1Fam",7,5,2
59,"60","RL",13682,"HLS","CulDSac","StoneBr","1Fam",10,5,0
60,"20","RL",7200,"Bnk","Inside","CollgCr","1Fam",5,7,36
61,"20","RL",13072,"Lvl","Inside","SawyerW","1Fam",6,5,2
62,"75","RM",7200,"Lvl","Inside","IDOTRR","1Fam",5,7,87
63,"120","RL",6442,"Lvl","Inside","NridgHt","TwnhsE",8,5,1
64,"70","RM",10300,"Bnk","Inside","OldTown","1Fam",7,6,89
65,"60","RL",9375,"Lvl","Inside","CollgCr","1Fam",7,5,12
66,"60","RL",9591,"Lvl","Inside","NridgHt","1Fam",8,5,3
67,"20","RL",19900,"Lvl","Inside","NAmes","1Fam",7,5,40
68,"20","RL",10665,"Lvl","Inside","CollgCr","1Fam",7,5,4
69,"30","RM",4608,"Lvl","Corner","OldTown","1Fam",4,6,65
70,"50","RL",15593,"Lvl","Corner","ClearCr","1Fam",7,4,53
71,"20","RL",13651,"Lvl","Inside","NAmes","1Fam",7,6,34
72,"20","RL",7599,"Lvl","Corner","Mitchel","1Fam",4,6,25
73,"60","RL",10141,"Lvl","Corner","Gilbert","1Fam",7,5,11
74,"20","RL",10200,"Lvl","Inside","NAmes","1Fam",5,7,56
75,"50","RM",5790,"Lvl","Corner","OldTown","1Fam",3,6,95
76,"180","RM",1596,"Lvl","Inside","MeadowV","Twnhs",4,5,36
77,"20","RL",8475,"Lvl","Inside","NAmes","1Fam",4,7,52
78,"50","RM",8635,"Lvl","Inside","BrkSide","1Fam",5,5,60
79,"90","RL",10778,"Lvl","Inside","Sawyer","Duplex",4,5,42
80,"50","RM",10440,"Lvl","Corner","OldTown","1Fam",5,6,99
81,"60","RL",13000,"Lvl","Corner","NAmes","1Fam",6,6,41
82,"120","RM",4500,"Lvl","FR2","Mitchel","TwnhsE",6,5,8
83,"20","RL",10206,"Lvl","Inside","Somerst","1Fam",8,5,1
84,"20","RL",8892,"Lvl","Inside","NAmes","1Fam",5,5,47
85,"80","RL",8530,"Lvl","Inside","Gilbert","1Fam",7,5,14
86,"60","RL",16059,"Lvl","Corner","NoRidge","1Fam",8,5,15
87,"60","RL",11911,"Lvl","Inside","Gilbert","1Fam",6,5,4
88,"160","FV",3951,"Lvl","Corner","Somerst","TwnhsE",6,5,0
89,"50","C (all)",8470,"Lvl","Corner","IDOTRR","1Fam",3,2,94
90,"20","RL",8070,"Lvl","Inside","CollgCr","1Fam",4,5,13
91,"20","RL",7200,"Lvl","Inside","NAmes","1Fam",4,5,56
92,"20","RL",8500,"Lvl","Inside","NAmes","1Fam",5,3,45
93,"30","RL",13360,"HLS","Inside","Crawfor","1Fam",5,7,88
94,"190","C (all)",7200,"Lvl","Corner","OldTown","2fmCon",6,6,97
95,"60","RL",9337,"Lvl","Inside","CollgCr","1Fam",6,5,10
96,"60","RL",9765,"Lvl","Corner","Gilbert","1Fam",6,8,16
97,"20","RL",10264,"Lvl","Inside","CollgCr","1Fam",7,5,7
98,"20","RL",10921,"HLS","Inside","Edwards","1Fam",4,5,42
99,"30","RL",10625,"Lvl","Corner","Edwards","1Fam",5,5,90
100,"20","RL",9320,"Lvl","Inside","NAmes","1Fam",4,5,51
101,"20","RL",10603,"Lvl","Inside","NWAmes","1Fam",6,7,33
102,"60","RL",9206,"Lvl","Inside","SawyerW","1Fam",6,5,25
103,"90","RL",7018,"Bnk","Inside","SawyerW","Duplex",5,5,30
104,"20","RL",10402,"Lvl","Corner","CollgCr","1Fam",7,5,1
105,"50","RM",7758,"Lvl","Corner","IDOTRR","1Fam",7,4,76
106,"60","FV",9375,"Lvl","Inside","Somerst","1Fam",8,5,5
107,"30","RM",10800,"Lvl","Inside","OldTown","1Fam",4,7,122
108,"20","RM",6000,"Lvl","Inside","OldTown","1Fam",5,5,60
109,"50","RM",8500,"Lvl","Corner","IDOTRR","1Fam",5,7,88
110,"20","RL",11751,"Lvl","Inside","NWAmes","1Fam",6,6,33
111,"50","RL",9525,"Lvl","Inside","Edwards","1Fam",6,4,52
112,"80","RL",7750,"Lvl","Inside","Gilbert","1Fam",7,5,10
113,"60","RL",9965,"Lvl","Inside","CollgCr","1Fam",7,5,0
114,"20","RL",21000,"Bnk","Corner","Crawfor","1Fam",6,5,54
115,"70","RL",7259,"Lvl","Inside","Crawfor","1Fam",6,8,62
116,"160","FV",3230,"Lvl","Corner","Somerst","TwnhsE",6,5,8
117,"20","RL",11616,"Lvl","Inside","Sawyer","1Fam",5,5,47
118,"20","RL",8536,"Lvl","Corner","Edwards","1Fam",5,5,1
119,"60","RL",12376,"Lvl","Corner","SawyerW","1Fam",7,5,20
120,"60","RL",8461,"Lvl","Inside","CollgCr","1Fam",6,5,1
121,"80","RL",21453,"Low","CulDSac","ClearCr","1Fam",6,5,37
122,"50","RM",6060,"Lvl","Inside","IDOTRR","1Fam",4,5,68
123,"20","RL",9464,"Lvl","Corner","NAmes","1Fam",6,7,50
124,"120","RL",7892,"Lvl","Inside","SawyerW","TwnhsE",6,5,15
125,"20","RL",17043,"Lvl","CulDSac","NWAmes","1Fam",6,5,30
126,"190","RM",6780,"Lvl","Inside","IDOTRR","2fmCon",6,8,71
127,"120","RL",4928,"Lvl","Inside","NPkVill","TwnhsE",6,5,31
128,"45","RM",4388,"Bnk","Inside","OldTown","1Fam",5,7,77
129,"60","RL",7590,"Lvl","Inside","NAmes","1Fam",6,5,40
130,"20","RL",8973,"Lvl","Inside","NAmes","1Fam",5,7,48
131,"60","RL",14200,"Lvl","Corner","NAmes","1Fam",7,6,40
132,"60","RL",12224,"Lvl","Corner","Gilbert","1Fam",6,5,9
133,"20","RL",7388,"Lvl","Corner","NAmes","1Fam",5,6,48
134,"20","RL",6853,"Lvl","Inside","Timber","1Fam",8,5,8
135,"20","RL",10335,"Lvl","Inside","Sawyer","1Fam",5,6,38
136,"20","RL",10400,"Lvl","Inside","NWAmes","1Fam",7,6,38
137,"20","RL",10355,"Lvl","Corner","NAmes","1Fam",5,5,40
138,"90","RL",11070,"Lvl","Inside","Mitchel","Duplex",7,5,18
139,"60","RL",9066,"Lvl","Inside","CollgCr","1Fam",8,5,9
140,"60","RL",15426,"Lvl","Inside","CollgCr","1Fam",6,5,12
141,"20","RL",10500,"Lvl","FR2","NAmes","1Fam",4,5,39
142,"20","RL",11645,"Lvl","Inside","CollgCr","1Fam",7,5,1
143,"50","RL",8520,"Lvl","Corner","NAmes","1Fam",5,4,58
144,"20","RL",10335,"Lvl","Inside","CollgCr","1Fam",7,5,10
145,"90","RM",9100,"Lvl","Inside","Sawyer","Duplex",5,5,43
146,"160","RM",2522,"Lvl","Inside","Edwards","Twnhs",6,5,2
147,"30","RM",6120,"Lvl","Corner","BrkSide","1Fam",5,7,78
148,"60","RL",9505,"Lvl","CulDSac","Gilbert","1Fam",7,5,9
149,"20","RL",7500,"Lvl","Inside","SawyerW","1Fam",7,5,4
150,"50","RM",6240,"Lvl","Inside","BrkSide","1Fam",5,4,70
151,"20","RL",10356,"Lvl","Corner","CollgCr","1Fam",5,6,32
152,"20","RL",13891,"Lvl","Inside","NridgHt","1Fam",8,5,1
153,"60","RL",14803,"Lvl","CulDSac","NWAmes","1Fam",6,5,35
154,"20","RL",13500,"Lvl","Inside","ClearCr","1Fam",6,7,48
155,"30","RM",11340,"Lvl","Corner","OldTown","1Fam",6,5,83
156,"50","RL",9600,"Lvl","Corner","Edwards","1Fam",6,5,84
157,"20","RL",7200,"Lvl","Inside","NAmes","1Fam",5,7,56
158,"60","RL",12003,"Lvl","Corner","Timber","1Fam",8,5,1
159,"60","FV",12552,"Lvl","Corner","Somerst","1Fam",7,5,6
160,"60","RL",19378,"HLS","Corner","Gilbert","1Fam",7,5,1
161,"20","RL",11120,"Lvl","CulDSac","Veenker","1Fam",6,6,24
162,"60","RL",13688,"Lvl","Inside","NridgHt","1Fam",9,5,5
163,"20","RL",12182,"Lvl","Corner","NridgHt","1Fam",7,5,5
164,"45","RL",5500,"Lvl","Inside","OldTown","1Fam",4,6,51
165,"40","RM",5400,"Lvl","Corner","OldTown","1Fam",6,7,81
166,"190","RL",10106,"Lvl","Inside","Edwards","2fmCon",5,7,68
167,"20","RL",10708,"Lvl","Inside","ClearCr","1Fam",5,5,54
168,"60","RL",10562,"Lvl","Inside","NridgHt","1Fam",8,5,0
169,"60","RL",8244,"Lvl","Inside","Gilbert","1Fam",7,5,3
170,"20","RL",16669,"Lvl","Corner","Timber","1Fam",8,6,25
171,"50","RM",12358,"Lvl","Inside","OldTown","1Fam",5,6,66
172,"20","RL",31770,"Lvl","Corner","NAmes","1Fam",6,5,50
173,"160","RL",5306,"Lvl","Inside","StoneBr","TwnhsE",7,7,19
174,"20","RL",10197,"Lvl","Inside","NAmes","1Fam",6,5,47
175,"20","RL",12416,"Lvl","Inside","Timber","1Fam",6,5,22
176,"20","RL",12615,"Lvl","Corner","Edwards","1Fam",6,7,57
177,"60","RL",10029,"Lvl","Corner","ClearCr","1Fam",6,5,19
178,"50","RL",13650,"Lvl","Inside","Sawyer","1Fam",5,5,48
179,"20","RL",17423,"Lvl","CulDSac","StoneBr","1Fam",9,5,1
180,"30","RM",8520,"Lvl","Inside","OldTown","1Fam",5,6,84
181,"160","FV",2117,"Lvl","Inside","Somerst","Twnhs",6,5,7
182,"70","RL",7588,"Lvl","Inside","Crawfor","1Fam",7,6,86
183,"20","RL",9060,"Lvl","Inside","Edwards","1Fam",5,6,50
184,"50","RM",11426,"Lvl","Inside","OldTown","1Fam",7,5,5
185,"50","RL",7438,"Lvl","Inside","BrkSide","1Fam",5,8,98
186,"75","RM",22950,"Lvl","Inside","OldTown","1Fam",10,9,114
187,"80","RL",9947,"Lvl","CulDSac","Mitchel","1Fam",7,5,19
188,"50","RL",10410,"Lvl","Inside","OldTown","1Fam",5,7,93
189,"90","RL",7018,"Bnk","Inside","SawyerW","Duplex",5,5,30
190,"120","RL",4923,"Lvl","Inside","StoneBr","TwnhsE",8,5,7
191,"70","RL",10570,"Bnk","Inside","Crawfor","1Fam",8,8,75
192,"60","RL",7472,"Lvl","CulDSac","NAmes","1Fam",7,9,35
193,"20","RL",9017,"Lvl","Inside","CollgCr","1Fam",7,5,10
194,"160","RM",2522,"Lvl","Inside","Edwards","Twnhs",7,5,2
195,"20","RL",7180,"Lvl","Inside","CollgCr","1Fam",5,7,36
196,"160","RL",2280,"Lvl","FR2","NPkVill","Twnhs",6,6,33
197,"20","RL",9416,"Lvl","Inside","Somerst","1Fam",7,5,0
198,"75","RL",25419,"Lvl","Corner","NAmes","1Fam",8,4,88
199,"75","RM",5520,"Lvl","Corner","OldTown","1Fam",6,6,97
200,"20","RL",9591,"Lvl","Inside","NridgHt","1Fam",8,5,5
201,"20","RM",8546,"Lvl","Corner","Edwards","1Fam",4,5,7
202,"20","RL",10125,"Lvl","Inside","Mitchel","1Fam",6,6,31
203,"50","RL",7000,"Lvl","Corner","OldTown","1Fam",6,6,82
204,"120","RM",4438,"Lvl","Inside","CollgCr","TwnhsE",6,5,4
205,"50","RM",3500,"Lvl","Inside","OldTown","1Fam",5,7,62
206,"20","RL",11851,"Lvl","Corner","Gilbert","1Fam",7,5,19
207,"20","RL",13673,"Lvl","CulDSac","Sawyer","1Fam",5,5,45
208,"20","RL",12493,"Lvl","Inside","NAmes","1Fam",4,5,48
209,"60","RL",14364,"Low","Inside","SawyerW","1Fam",7,5,19
210,"20","RL",8250,"Lvl","Inside","NAmes","1Fam",6,7,44
211,"30","RL",5604,"Lvl","Inside","Edwards","1Fam",5,6,83
212,"20","RL",10420,"Lvl","Corner","Edwards","1Fam",6,5,1
213,"60","FV",8640,"Lvl","Inside","Somerst","1Fam",7,5,0
214,"20","RL",13568,"Lvl","CulDSac","CollgCr","1Fam",5,5,11
215,"60","RL",10900,"Lvl","FR2","CollgCr","1Fam",6,7,33
216,"20","RL",10011,"Lvl","Inside","NAmes","1Fam",5,6,49
217,"20","RL",8450,"Lvl","Inside","CollgCr","1Fam",7,5,4
218,"70","RM",9906,"Lvl","Inside","OldTown","1Fam",4,4,81
219,"50","RL",15660,"Lvl","Corner","Crawfor","1Fam",7,9,69
220,"120","RL",3010,"Lvl","Inside","Blmngtn","TwnhsE",7,5,1
221,"20","RL",8990,"Lvl","Inside","CollgCr","1Fam",7,5,0
222,"60","RL",8068,"Lvl","Inside","Gilbert","1Fam",6,5,7
223,"60","RL",11475,"Lvl","Inside","NWAmes","1Fam",6,6,31
224,"20","RL",10500,"Lvl","FR2","NAmes","1Fam",4,6,38
225,"20","RL",13472,"Lvl","Inside","NridgHt","1Fam",10,5,6
226,"160","RM",1680,"Lvl","Inside","BrDale","Twnhs",5,5,38
227,"60","RL",9950,"Lvl","Inside","NoRidge","1Fam",7,5,12
228,"160","RM",1869,"Lvl","Inside","BrDale","Twnhs",6,6,38
229,"20","RL",8521,"Lvl","FR2","Sawyer","1Fam",5,5,43
230,"120","RL",3182,"Lvl","Inside","Blmngtn","TwnhsE",7,5,4
231,"20","RL",8760,"Lvl","Inside","NAmes","1Fam",6,6,51
232,"60","RL",15138,"Lvl","Inside","NoRidge","1Fam",8,5,14
233,"160","RM",1680,"Lvl","Inside","BrDale","Twnhs",6,5,34
234,"20","RL",10650,"Lvl","Corner","CollgCr","1Fam",5,6,34
235,"60","RL",7851,"Lvl","Inside","Gilbert","1Fam",6,5,8
236,"160","RM",1680,"Lvl","Inside","BrDale","TwnhsE",6,3,37
237,"20","RL",8773,"Lvl","FR2","CollgCr","1Fam",7,5,6
238,"60","RL",9453,"Lvl","CulDSac","SawyerW","1Fam",7,7,17
239,"20","RL",12030,"Lvl","Inside","NridgHt","1Fam",8,5,0
240,"50","RL",8741,"Lvl","Inside","Edwards","1Fam",6,4,65
241,"20","FV",9000,"Lvl","Inside","Somerst","1Fam",8,5,2
242,"30","RM",3880,"Lvl","Inside","OldTown","1Fam",5,9,62
243,"50","RM",5000,"Lvl","Corner","OldTown","1Fam",5,4,106
244,"160","RL",10762,"Lvl","Corner","SawyerW","TwnhsE",6,6,29
245,"60","RL",8880,"Lvl","Inside","SawyerW","1Fam",7,5,16
246,"20","RL",10400,"Lvl","Inside","NWAmes","1Fam",7,5,18
247,"190","RM",9142,"Lvl","Inside","OldTown","2fmCon",6,8,96
248,"20","RL",11310,"Lvl","Inside","NAmes","1Fam",6,5,52
249,"60","RL",11317,"Lvl","Inside","CollgCr","1Fam",7,5,4
251,"30","RL",5350,"Lvl","Inside","BrkSide","1Fam",3,2,70
252,"120","RM",4750,"HLS","Inside","Crawfor","TwnhsE",8,5,1
253,"60","RL",8366,"Lvl","Inside","SawyerW","1Fam",6,5,4
254,"80","RL",9350,"Lvl","Inside","NAmes","1Fam",6,7,43
255,"20","RL",8400,"Lvl","Inside","NAmes","1Fam",5,6,53
256,"60","RL",8738,"Lvl","Inside","Gilbert","1Fam",7,5,7
257,"60","FV",8791,"Lvl","Inside","Somerst","1Fam",6,5,5
258,"20","RL",8814,"Lvl","Inside","CollgCr","1Fam",7,5,3
259,"60","RL",12435,"Lvl","Inside","CollgCr","1Fam",7,5,7
260,"20","RM",12702,"Lvl","Inside","OldTown","1Fam",5,5,52
261,"80","RL",19296,"Lvl","Corner","NAmes","1Fam",6,5,47
262,"60","RL",9588,"Lvl","Inside","CollgCr","1Fam",8,5,0
263,"80","RL",8471,"Lvl","Corner","Sawyer","1Fam",6,7,29
264,"50","RM",5500,"Lvl","Corner","OldTown","1Fam",5,7,81
265,"30","RM",5232,"Bnk","Inside","OldTown","1Fam",5,5,83
266,"20","RL",12090,"Lvl","Inside","NWAmes","1Fam",6,6,27
267,"60","RL",11207,"HLS","FR2","Gilbert","1Fam",6,5,9
268,"75","RL",8400,"Bnk","Inside","SWISU","1Fam",5,8,69
269,"30","RM",6900,"Lvl","Inside","IDOTRR","1Fam",5,6,68
270,"20","RL",7917,"Lvl","Corner","Edwards","1Fam",6,7,31
271,"60","FV",10728,"Lvl","Inside","Somerst","1Fam",8,5,0
272,"20","RL",39104,"Low","CulDSac","ClearCr","1Fam",7,7,54
273,"60","RL",11764,"Lvl","CulDSac","NoRidge","1Fam",8,7,11
274,"20","RL",9600,"Lvl","Inside","NAmes","1Fam",6,6,51
275,"20","RL",8314,"Lvl","Corner","Mitchel","1Fam",5,7,25
276,"50","RL",7264,"Lvl","Inside","BrkSide","1Fam",7,7,84
277,"20","RL",9196,"Lvl","Inside","Mitchel","1Fam",7,5,7
278,"20","RL",19138,"Lvl","Corner","Gilbert","1Fam",4,5,59
279,"20","RL",14450,"Lvl","Inside","NridgHt","1Fam",9,5,1
280,"60","RL",10005,"Lvl","Inside","ClearCr","1Fam",7,5,31
281,"60","RL",11287,"Lvl","Inside","SawyerW","1Fam",7,6,18
282,"20","FV",7200,"Lvl","Inside","Somerst","1Fam",6,5,0
283,"120","RL",5063,"Lvl","Inside","NridgHt","Twnhs",7,5,2
284,"20","RL",9612,"Lvl","Inside","Somerst","1Fam",8,5,1
285,"120","RL",8012,"Lvl","Inside","SawyerW","TwnhsE",6,5,15
286,"160","FV",4251,"Lvl","Inside","Somerst","TwnhsE",7,5,1
287,"50","RL",9786,"Bnk","Inside","NAmes","1Fam",6,7,44
288,"20","RL",8125,"Lvl","Corner","NAmes","1Fam",4,4,35
289,"20","RL",9819,"Lvl","Inside","Sawyer","1Fam",5,5,43
290,"70","RL",8730,"Lvl","Inside","BrkSide","1Fam",6,7,92
291,"60","RL",15611,"Lvl","Inside","CollgCr","1Fam",8,5,0
292,"190","RL",5687,"Bnk","Inside","SWISU","2fmCon",5,6,96
293,"50","RL",11409,"Lvl","Inside","Edwards","1Fam",5,4,60
294,"60","RL",16659,"Lvl","Corner","NWAmes","1Fam",7,7,29
295,"20","RL",9600,"Lvl","Inside","NAmes","1Fam",6,5,56
296,"80","RL",7937,"Lvl","CulDSac","Mitchel","1Fam",6,6,22
297,"50","RM",13710,"Lvl","Inside","IDOTRR","1Fam",5,5,57
298,"60","FV",7399,"Lvl","Inside","Somerst","1Fam",7,5,10
299,"60","RL",11700,"Lvl","Inside","NWAmes","1Fam",6,6,39
300,"20","RL",14000,"Lvl","Inside","Crawfor","1Fam",6,8,59
301,"190","RL",15750,"Lvl","Corner","Crawfor","2fmCon",5,5,53
302,"60","RL",16226,"Lvl","Inside","CollgCr","1Fam",8,5,9
303,"20","RL",13704,"Lvl","Corner","CollgCr","1Fam",7,5,5
304,"20","RL",9800,"Lvl","Corner","CollgCr","1Fam",5,7,34
305,"75","RM",18386,"Lvl","Inside","OldTown","1Fam",7,9,128
306,"20","RL",10386,"Lvl","Inside","CollgCr","1Fam",8,5,3
307,"60","RL",13474,"Lvl","Inside","SawyerW","1Fam",7,5,17
308,"50","RM",7920,"Lvl","Inside","IDOTRR","1Fam",6,7,88
309,"30","RL",12342,"Lvl","Inside","Edwards","1Fam",4,5,69
310,"20","RL",12378,"Lvl","Inside","NridgHt","1Fam",9,5,3
311,"60","RL",7685,"Lvl","Inside","Gilbert","1Fam",6,5,13
312,"20","RL",8000,"Lvl","Inside","NAmes","1Fam",6,6,61
313,"190","RM",7800,"Lvl","Inside","OldTown","2fmCon",5,7,67
315,"70","RM",9600,"Lvl","Inside","OldTown","1Fam",7,7,81
316,"60","RL",7795,"Lvl","Inside","Gilbert","1Fam",7,5,5
317,"60","RL",13005,"Lvl","Corner","NWAmes","1Fam",7,7,29
318,"60","FV",9000,"Lvl","Inside","Somerst","1Fam",8,5,1
319,"60","RL",9900,"Low","Inside","NoRidge","1Fam",7,5,16
320,"80","RL",14115,"Lvl","Inside","NWAmes","1Fam",7,5,29
321,"60","RL",16259,"Lvl","Corner","NridgHt","1Fam",9,5,0
322,"60","RL",12099,"Lvl","Inside","NridgHt","1Fam",8,5,3
323,"60","RL",10380,"Lvl","Inside","SawyerW","1Fam",7,5,21
324,"20","RM",5820,"Lvl","Inside","OldTown","1Fam",3,8,51
325,"80","RL",11275,"Lvl","Corner","NAmes","1Fam",7,7,43
326,"45","RM",5000,"Lvl","Inside","IDOTRR","1Fam",5,6,66
327,"120","RL",10846,"Lvl","CulDSac","Veenker","TwnhsE",8,5,15
328,"20","RL",11600,"Lvl","Inside","NAmes","1Fam",6,5,46
329,"75","RL",11888,"Bnk","Inside","BrkSide","1Fam",6,6,93
330,"70","RM",6402,"Lvl","Corner","IDOTRR","1Fam",5,5,89
331,"90","RL",10624,"Lvl","Inside","NAmes","Duplex",5,4,43
332,"20","RL",8176,"Lvl","Inside","NAmes","1Fam",5,6,49
333,"20","RL",10655,"Lvl","Inside","NridgHt","1Fam",8,5,6
334,"120","RM",8198,"Lvl","FR3","NridgHt","TwnhsE",7,5,4
335,"60","RL",9042,"Lvl","Inside","Gilbert","1Fam",6,5,10
337,"20","RL",14157,"HLS","Corner","StoneBr","1Fam",9,5,2
338,"20","RL",9135,"Lvl","Inside","CollgCr","1Fam",7,5,6
339,"20","RL",14145,"Lvl","Corner","NWAmes","1Fam",7,7,22
340,"20","RL",12400,"Lvl","Inside","NAmes","1Fam",6,7,51
341,"60","RL",14191,"Lvl","Inside","Timber","1Fam",8,5,8
342,"20","RH",8400,"Lvl","Inside","SawyerW","1Fam",4,4,59
343,"90","RL",8544,"Lvl","Inside","NAmes","Duplex",3,4,57
344,"120","RL",8849,"Lvl","Inside","NridgHt","TwnhsE",9,5,3
345,"160","RM",2592,"Lvl","Inside","MeadowV","TwnhsE",5,3,34
346,"50","RL",6435,"Lvl","Inside","BrkSide","1Fam",6,5,67
347,"20","RL",12772,"Lvl","CulDSac","NAmes","1Fam",6,8,47
348,"20","RL",17600,"Lvl","Inside","NAmes","1Fam",6,5,49
349,"160","RL",2448,"Lvl","Inside","NridgHt","Twnhs",7,5,5
350,"60","RL",20431,"Lvl","Inside","NridgHt","1Fam",9,5,1
351,"120","RL",7820,"Lvl","Inside","NridgHt","TwnhsE",9,5,0
352,"120","RL",5271,"Low","Inside","ClearCr","1Fam",7,5,20
353,"50","RL",9084,"Lvl","Inside","Edwards","1Fam",5,6,67
354,"30","RM",8520,"Lvl","Inside","OldTown","1Fam",6,8,82
355,"50","RL",8400,"Bnk","Inside","SWISU","1Fam",6,5,66
356,"20","RL",11249,"Lvl","Inside","CollgCr","1Fam",6,5,12
357,"20","RL",9248,"Lvl","Inside","Gilbert","1Fam",6,6,17
358,"120","RM",4224,"Lvl","Inside","MeadowV","TwnhsE",5,5,31
359,"80","RL",6930,"Lvl","Inside","ClearCr","1Fam",5,4,48
360,"60","RL",12011,"Lvl","CulDSac","NoRidge","1Fam",8,5,8
361,"85","RL",7540,"Lvl","CulDSac","Mitchel","1Fam",6,6,29
362,"50","RL",9144,"Lvl","Inside","BrkSide","1Fam",5,5,68
363,"85","RL",7301,"Lvl","Corner","Edwards","1Fam",7,5,6
364,"160","RM",1680,"Lvl","Inside","BrDale","Twnhs",6,8,37
365,"60","RL",18800,"Lvl","FR2","NWAmes","1Fam",6,5,30
366,"70","RM",10690,"Lvl","Inside","IDOTRR","1Fam",5,7,89
367,"20","RL",9500,"Lvl","Inside","NAmes","1Fam",6,5,46
368,"80","RL",9150,"Lvl","Corner","NAmes","1Fam",6,5,46
